№,ID,Адрес,Метро,Часы работы,Широта (WGS84),Долгота (WGS84),Широта,Долгота
359,2190546,"ул. Коптевская, 8","Коптево, Войковская, Балтийская",пн-вс 9:00 - 22:05,55.8274107,37.5176315,55.8274107,37.5176315
360,1376412,"ул. Генерала Глаголева, 24","Октябрьское поле, Щукинская, Зорге МЦК",пн-вс 8:00 - 22:05,55.7836433,37.4649618,55.7836433,37.4649618
361,1771362,"ул. М.Филевская, 30","Кунцевская, Славянский бульвар, Филевский парк, Терехово",пн-вс 9:00 - 22:05,55.7626222,37.4905248,55.7626222,37.4905248
362,2339792,"ул. Металлургов, 7/18","Перово, Шоссе Энтузиастов",пн-вс 9:00 - 22:05,55.7576579,37.7802391,55.7576579,37.7802391
367,3788601,"ул. Артюхиной, 28А","Волжская, Печатники",пн-вс 9:00 - 22:05,55.6938377,37.7385242,55.6938377,37.7385242
382,3737375,"ул. Снежная, 4","Ботанический сад, Свиблово",пн-вс 9:00 - 22:05,55.8480925,37.6414691,55.8480925,37.6414691
384,185084,"ул. Коптевская, 20","Коптево, Балтийская, Войковская",пн-вс 9:00 - 22:05,55.830775,37.5210707,55.830775,37.5210707
385,3615263,"ул. Кусковская, 16",Перово,пн-вс 9:00 - 22:05,55.7388261,37.7805812,55.7388261,37.7805812
386,980963,"ул. Фруктовая, 20","Нахимовский проспект, Севастопольская, Нагорная",пн-вс 9:00 - 22:05,55.6625306,37.6086876,55.6625306,37.6086876
387,1070388,"ул. Большая Академическая, 73/1","Лихоборы, Окружная",пн-вс 9:00 - 22:05,55.8396005,37.5467027,55.8396005,37.5467027
389,4263647,"ал. Березовая, 19",Ботанический сад,пн-вс 9:00 - 22:05,55.1386168,37.5750192,55.1386168,37.5750192
392,294487,"ул. Чистова, 22","Волжская, Текстильщики, Кузьминки",пн-вс 9:00 - 22:05,55.6965775,37.7472295,55.6965775,37.7472295
394,3458325,"ш. Щелковское, 9","Черкизовская, Локомотив",пн-вс 9:00 - 22:05,55.8056762,37.7589666,55.8056762,37.7589666
401,171457,"ш. Старокаширское, 2/2","Севастопольская, Нахимовский проспект, Каширская",пн-вс 9:00 - 22:05,55.6600339,37.6369525,55.6600339,37.6369525
406,4595681,"пр. 3-й Новомихалковский, 8/1","Лихоборы, Коптево",пн-вс 9:00 - 22:05,55.8402024,37.5381408,55.8402024,37.5381408
410,6795,"ул. Коптевская, 75","Коптево, Балтийская, Войковская",пн-вс 9:00 - 22:05,55.8337839,37.519789,55.8337839,37.519789
411,1864764,"ул. Первомайская, 9","Измайловская, Первомайская, Партизанская",пн-вс 9:00 - 22:05,55.7915149,37.7745953,55.7915149,37.7745953
414,4578729,"пр. Ленинский, 93","Новаторская, Проспект Вернадского",пн-вс 9:00 - 22:05,55.9364891,37.8794107,55.9364891,37.8794107
420,3047730,"ул. Сельскохозяйственная, 35","Ботанический сад, Свиблово",пн-вс 9:00 - 22:05,55.8519469,37.6229768,55.8519469,37.6229768
422,3868497,"ш. Ленинградское, 21","Балтийская, Войковская, Стрешнево",пн-вс 9:00 - 22:05,55.8334769,37.4857824,55.8334769,37.4857824
426,932480,"ш. Варшавское, 68/2","Севастопольская, Нахимовский проспект, Нагорная",пн-вс 9:00 - 22:05,55.51152,37.5750004,55.51152,37.5750004
429,4572270,"ул. Малая Филевская, 66","Кунцевская, Пионерская, Славянский бульвар",пн-вс 9:00 - 22:05,55.7328089,37.449374,55.7328089,37.449374
430,2328788,"ул. Первомайская, 24","Измайловская, Первомайская, Партизанская",пн-вс 9:00 - 22:05,55.7918942,37.778778,55.7918942,37.778778
431,4282455,"ул. Маршала Чуйкова, 12","Кузьминки, Волжская",пн-вс 9:00 - 22:05,55.7023753,37.7626166,55.7023753,37.7626166
433,3748815,"ул. Михайлова, 41","Окская, Рязанский проспект",пн-вс 9:00 - 22:05,55.7232896,37.7812924,55.7232896,37.7812924
434,1791823,"ул. Прядильная 2-я, 4","Измайловская, Первомайская, Партизанская",пн-вс 9:00 - 22:05,55.7951326,37.7768986,55.7951326,37.7768986
